"geolev","index","n.x","dhs","n.y","predictions","n","country"
"204001001",-0.453583939490214,2688,-0.279054879090909,11,-0.0520928305454545,11,"Benin"
"204001002",-0.32797534795079,1526,-0.199557796,6,-0.0650850358333333,6,"Benin"
"204001003",-0.176058635180665,2325,-0.17812985375,8,-0.0230960295,8,"Benin"
"204001004",-0.46602722486886,917,-0.69091739,5,-0.217841604,5,"Benin"
"204001005",-0.280437201386851,2307,-0.183033875555556,9,0.262848663888889,9,"Benin"
"204001006",-0.570890909754757,1072,-0.19744529,4,-0.08882872675,4,"Benin"
"204002001",-0.536492879174506,1360,-0.678461718571429,7,-0.368236258857143,7,"Benin"
"204002002",-0.4048541247726,1023,-0.67706261,4,-0.4779355225,4,"Benin"
"204002003",-0.513635780729914,1108,-0.04574371,5,-0.018832154,5,"Benin"
"204002004",-0.444815623303681,1315,-0.109455513571429,7,-0.101408641442857,7,"Benin"
"204002005",-0.470374164672268,1625,-0.443648566666667,9,-0.450321138888889,9,"Benin"
"204002006",0.110628047147847,1771,-0.186317254545455,11,0.0547457454545454,11,"Benin"
"204002007",-0.400659222040965,912,-0.167599246,5,0.031723725,5,"Benin"
"204002008",-0.230385959997899,1101,-0.267329962857143,7,0.0217935,7,"Benin"
"204002009",-0.666092937474164,539,-0.776206263333333,3,-0.363522103333333,3,"Benin"
"204003001",0.937697798922251,14552,0.953653393923077,26,1.15166235846154,26,"Benin"
"204003002",-0.0909167432050095,2991,0.188678900909091,11,0.560794986181818,11,"Benin"
"204003003",-0.223425980622992,1528,-0.027929733125,8,0.13904074625,8,"Benin"
"204003004",0.577117852468991,3645,0.669803154545455,11,0.717923416818182,11,"Benin"
"204003005",-0.142339406891874,2036,-0.2792325142,10,-0.0752245648,10,"Benin"
"204003006",-0.143375640695091,2013,-0.2151695419,10,0.20267002005,10,"Benin"
"204003007",-0.336545617673718,1189,-0.121555874857143,7,0.268722703857143,7,"Benin"
"204003008",-0.330227139187837,1921,-0.128119534,10,0.1693046514,10,"Benin"
"204004001",-0.320317207462041,1573,-0.100004585714286,7,-0.0920268635714286,7,"Benin"
"204004002",-0.542571292066719,1727,-0.293108650428571,7,-0.201153485714286,7,"Benin"
"204004003",-0.328201418647951,1408,-0.112285393166667,6,0.265830804333333,6,"Benin"
"204004004",-0.290296046513853,1670,-0.31918452625,8,-0.1479452055,8,"Benin"
"204004005",0.934605254224792,4615,0.982281510714286,14,1.28721238142857,14,"Benin"
"204004006",-0.497648631077059,863,0.2599196675,4,0.441373605,4,"Benin"
"204004007",-0.311324578239464,940,-0.1318845292,5,0.121947234,5,"Benin"
"204004008",-0.217312768244118,3011,0.051250401,10,0.1024172387,10,"Benin"
"204005001",-0.0226860387672156,1822,0.19510083125,8,0.0610654125,8,"Benin"
"204005002",-0.165730156841086,2265,0.179655524454545,11,-0.00987521545454547,11,"Benin"
"204005003",-0.0880155682827884,2232,0.0194189292727273,11,0.0189920573363636,11,"Benin"
"204005004",-0.234482939663801,2187,0.0269353611111111,9,0.174195658666667,9,"Benin"
"204005005",-0.0903055429703679,2802,-0.0454639723076923,13,-0.0681848893846154,13,"Benin"
"204005006",-0.0209335091279874,1608,0.27866396325,8,0.224688815,8,"Benin"
"204006001",-0.267343366299503,3311,-0.0111151025454545,11,0.0161237464545455,11,"Benin"
"204006002",-0.473173839555751,2511,-0.263378177777778,9,-0.0405284031111111,9,"Benin"
"204006003",-0.2061503338247,2120,-0.1712034945,10,0.3745360537,10,"Benin"
"204006004",-0.376660878268835,2551,-0.184271940555556,9,0.0292929802222222,9,"Benin"
"204006005",-0.533044141354994,1773,-0.148269568888889,9,-0.0877514891111111,9,"Benin"
"204006006",-0.533668493384113,1778,-0.0734752903333333,6,0.167744165933333,6,"Benin"
"204007001",-0.14339740598443,1692,0.28134704,8,0.0934205855,8,"Benin"
"204007002",-0.414949756690201,725,-0.230192742857143,7,-0.332241024285714,7,"Benin"
"204007003",-0.00627003938833019,3403,0.2618603968125,16,0.223704076875,16,"Benin"
"204007004",-0.127463748531306,821,0.0441608215,4,-0.246873944,4,"Benin"
"204008001",1.468090702221,16650,1.31539011238095,84,1.54284268571429,84,"Benin"
"204009001",-0.381430957536087,1209,-0.424476182857143,7,-0.00452776485714286,7,"Benin"
"204009002",-0.500271634260846,1813,-0.3956945475,8,-0.051634677,8,"Benin"
"204009003",0.305827841039491,1887,0.19880673875,8,0.56127641,8,"Benin"
"204009004",-0.0746977240924574,1405,0.0457219571428571,7,-0.0103446274285714,7,"Benin"
"204009005",-0.317528769827802,2203,0.0261463048888889,9,0.0963947081666667,9,"Benin"
"204009006",0.183336864024747,2080,0.4417288015,10,0.445655557,10,"Benin"
"204010001",0.337569697412229,2137,0.6851167775,8,0.9913141725,8,"Benin"
"204010002",-0.194052985158837,1531,-0.346619389,8,-0.09448873725,8,"Benin"
"204010003",-0.064009248276765,846,-0.1739385625,4,-0.0162062854,4,"Benin"
"204010004",0.135143839715831,2389,0.33402635875,8,0.8290014825,8,"Benin"
"204010005",0.0219985248313955,2640,0.240815068833333,9,0.961549382222222,9,"Benin"
"204010006",-0.118336278148183,772,-0.087949235,6,-0.150038548166667,6,"Benin"
"204010007",-0.366008838105821,1962,-0.404306007777778,9,0.100526356666667,9,"Benin"
"204010008",1.23749698753282,6037,1.11438540666667,18,1.44397975,18,"Benin"
"204010009",0.694155986931566,4945,0.694414910307692,13,1.05565641538462,13,"Benin"
"204011001",-0.287861417370438,1923,-0.0812615405555556,9,0.114037596777778,9,"Benin"
"204011002",-0.0490538166540787,2138,0.163960524222222,9,0.510411071444444,9,"Benin"
"204011003",-0.174183182470467,2803,0.301689310636364,11,-0.126655583636364,11,"Benin"
"204011004",0.00389764812837128,2118,-0.0867125106666667,9,0.0620881722222222,9,"Benin"
"204011005",-0.0126560133323728,2069,0.101167165714286,7,0.280359672571429,7,"Benin"
"204012001",0.643992540777535,2043,0.301525804545455,11,0.881926381818182,11,"Benin"
"204012002",-0.357150238855034,1676,-0.2040550225,8,0.044454460625,8,"Benin"
"204012003",0.630200451087216,3828,0.538483523571429,14,0.931677167142857,14,"Benin"
"204012004",0.33466330287484,1003,0.218313128833333,6,0.245890831,6,"Benin"
"204012005",-0.470612412733973,2392,-0.291603561363636,11,-0.233268404545455,11,"Benin"
"204012006",-0.431725477085137,960,-0.404050081666667,6,-0.210011157833333,6,"Benin"
"204012007",-0.299441802203867,1042,-0.3217134908,5,-0.2320575972,5,"Benin"
"204012008",-0.582749188695961,2923,-0.519546368909091,11,0.0181222756636364,11,"Benin"
"204012009",-0.423101230302174,1998,-0.237019041111111,9,0.0260225544444444,9,"Benin"
"426001002",-0.0580969644184176,1205,-0.183297257611111,18,-0.459579242777778,18,"Lesotho"
"426001003",-0.388282355157815,573,-0.415612960625,8,-0.40838704375,8,"Lesotho"
"426001005",0.457603808299521,572,0.40588428632,10,0.1880658841,10,"Lesotho"
"426002006",-0.558277316752836,540,-0.801968615,4,-0.58799994,4,"Lesotho"
"426002007",-0.105958247262709,562,-0.201533556666667,3,-0.416032576666667,3,"Lesotho"
"426002008",-0.253228631319976,424,-0.1079256402,4,-0.258006953,4,"Lesotho"
"426002010",-0.209557157116453,483,-0.5307481125,4,-0.5333889125,4,"Lesotho"
"426002011",0.111600334200387,856,-0.0263422345,6,-0.2044295375,6,"Lesotho"
"426002013",0.35727758557469,1011,0.5823076115,4,0.3778202425,4,"Lesotho"
"426002014",0.115657133178154,473,-0.1510355,1,-0.2513882,1,"Lesotho"
"426002015",0.493029961874552,806,0.478555415,4,0.894181445,4,"Lesotho"
"426002016",0.315380058426831,631,0.284760365,4,0.474540385,4,"Lesotho"
"426002017",0.194921099330442,815,-0.106195403333333,6,-0.316465932833333,6,"Lesotho"
"426003019",-0.421809789500744,496,-0.47373202,1,-0.50192267,1,"Lesotho"
"426003020",0.0593564389219254,511,-0.180951546,5,-0.466741184,5,"Lesotho"
"426003021",0.0129817296388387,436,0.01746466,5,-0.392389424,5,"Lesotho"
"426003023",-0.12638202762535,559,-0.189740916666667,3,-0.30063684,3,"Lesotho"
"426003024",0.719682582908379,555,1.16473646666667,3,0.322037783333333,3,"Lesotho"
"426003025",-0.163135498729274,713,-0.310380873333333,6,-0.529731903333333,6,"Lesotho"
"426003026",-0.0242415636089286,838,0.109108540428571,7,-0.294853288735714,7,"Lesotho"
"426003028",0.999987569681146,664,0.919138152,5,0.4437016,5,"Lesotho"
"426003029",1.46446755487034,1070,0.99005398,2,0.87102895,2,"Lesotho"
"426004030",0.852267973335234,808,1.05362138333333,6,0.97608909,6,"Lesotho"
"426004031",1.09350974926187,612,0.605606125,4,1.065071925,4,"Lesotho"
"426004032",0.932986564105265,1404,0.636595685714286,7,0.869000724285714,7,"Lesotho"
"426004033",0.577289426348383,1103,0.456629803333333,9,0.807022448888889,9,"Lesotho"
"426004034",0.978763901938261,1123,0.523434114,5,0.499876596,5,"Lesotho"
"426004035",1.19890253565554,738,0.8149903325,4,0.516334015,4,"Lesotho"
"426004037",0.175025931422214,525,-0.005822966,1,-0.38233164,1,"Lesotho"
"426004038",-0.0925965163292637,518,0.37622757,4,-0.19650364925,4,"Lesotho"
"426004039",-0.354305578837168,518,-0.3779637675,4,-0.57833706,4,"Lesotho"
"426004040",0.192913411202342,1024,0.121462855,4,-0.2924113575,4,"Lesotho"
"426004042",0.451321670416509,569,0.3648591,3,0.0740853933333333,3,"Lesotho"
"426004043",-0.293492973724979,442,-0.41271083,4,-0.4221299625,4,"Lesotho"
"426004044",0.0382244462220449,540,0.0771753333333333,3,-0.141880469,3,"Lesotho"
"426004045",-0.307363389644579,449,-0.19167487,1,-0.5715808,1,"Lesotho"
"426004046",-0.57429788999676,473,-0.45035954,4,-0.584557935,4,"Lesotho"
"426005047",-0.188923629123569,439,-0.0419147931,3,-0.573708436666667,3,"Lesotho"
"426005048",-0.314325696004617,442,-0.2704830275,4,-0.4837291,4,"Lesotho"
"426005051",-0.233158106719024,1140,-0.352234268,10,-0.517671958,10,"Lesotho"
"426005052",-0.165400571397481,473,-0.166749212,5,-0.48218425,5,"Lesotho"
"426005053",-0.0676872519672594,538,-0.0518319775,4,-0.3985714085,4,"Lesotho"
"426005055",0.464614331920285,1223,0.507146663636364,11,0.212707015090909,11,"Lesotho"
"426006057",-0.0878688619413171,1289,-0.0852449714615385,13,-0.457722619230769,13,"Lesotho"
"426006058",0.391483360881734,615,0.714131216666667,6,0.0390941716666667,6,"Lesotho"
"426006059",-0.293027458710746,432,-0.07136866175,4,-0.4197344025,4,"Lesotho"
"426006060",-0.346734676168452,484,-0.406169525,4,-0.4914936,4,"Lesotho"
"426006062",-0.690557545085064,415,-0.72761153,5,-0.593511822,5,"Lesotho"
"426006063",-0.732528014994702,472,-0.672363648,5,-0.563618518,5,"Lesotho"
"426007064",-0.191951135515319,585,-0.222538023333333,6,-0.2931727315,6,"Lesotho"
"426007065",0.0997927502064445,530,0.1257208,8,-0.120452495,8,"Lesotho"
"426007066",-0.392893328032216,446,-0.478862354457143,7,-0.503251651428571,7,"Lesotho"
"426007067",-0.270026808608965,575,-0.414667435714286,7,-0.4515958,7,"Lesotho"
"426007068",-0.430265407639528,499,-0.58416824,7,-0.630797748571429,7,"Lesotho"
"426008069",-0.217274919619888,954,-0.202306958571429,21,-0.251620933809524,21,"Lesotho"
"426008071",-0.275790842495462,492,-0.513638513733333,15,-0.422587729333333,15,"Lesotho"
"426009077",-0.619226520973524,510,-0.6082284,9,-0.58006194,9,"Lesotho"
"426009078",-0.659095205621721,428,-0.718969388571429,7,-0.568034935714286,7,"Lesotho"
"426009079",-0.23737266712406,618,-0.427433492454545,11,-0.302290639090909,11,"Lesotho"
"426009080",-0.553987662127498,460,-0.628935558888889,9,-0.55883864,9,"Lesotho"
"426010072",-0.525639904166603,1000,-0.630816993333333,15,-0.585470788,15,"Lesotho"
"426010074",-0.175286585457888,490,-0.285151052,10,-0.300699873,10,"Lesotho"
"426010075",-0.767933316668928,538,-0.765896114285714,7,-0.623401124285714,7,"Lesotho"
"426010076",NA,NA,-0.78638243,6,-0.607132245,6,"Lesotho"
"454101001",-0.350647566021518,2145,-0.524949417894737,19,-0.315492768631579,19,"Malawi"
"454101002",-0.503303870354913,943,-0.755821171428571,7,-0.656439898571429,7,"Malawi"
"454101003",-0.44753640360953,587,-0.751112033333333,3,-0.641323783333333,3,"Malawi"
"454102001",-0.45561964208656,2990,-0.582852018,15,-0.419478816666667,15,"Malawi"
"454102002",-0.522918915196911,1764,-0.6306773225,8,-0.56589439125,8,"Malawi"
"454102003",0.434883730826505,800,-0.255645131666667,6,0.635905541666667,6,"Malawi"
"454103001",-0.322843459634149,803,-0.3779470608,5,-0.58480699,5,"Malawi"
"454103002",-0.254946300895425,800,-0.4917842,5,-0.692232048,5,"Malawi"
"454103003",-0.334876078468068,681,-0.48933309,3,-0.646216873333333,3,"Malawi"
"454103004",-0.317181921404217,786,-0.50595039,2,-0.561404235,2,"Malawi"
"454103005",-0.461711224894262,525,-0.628168415,4,-0.679777885,4,"Malawi"
"454103006",0.231833146071537,421,-0.14088742125,4,-0.00862976875,4,"Malawi"
"454103007",-0.312273512803832,392,-0.422703606666667,3,-0.60744105,3,"Malawi"
"454104001",-0.168007780234779,2367,-0.304490443684211,19,-0.26138763,19,"Malawi"
"454104002",-0.217682701411896,711,-0.394470232,5,-0.495905976,5,"Malawi"
"454104003",-0.329710394394433,442,-0.521452335,4,-0.5747466925,4,"Malawi"
"454105001",0.899268538743641,2728,NA,NA,NA,NA,"Malawi"
"454105002",-0.272836304935498,3086,-0.349828317142857,7,-0.523476398571429,7,"Malawi"
"454105003",-0.486502304667195,2509,-0.553846068,5,-0.562615394,5,"Malawi"
"454105004",-0.524536436404728,2170,-0.677504025,4,-0.533512195,4,"Malawi"
"454105005",-0.386637851010368,1312,-0.1721523065,4,0.0527729225,4,"Malawi"
"454105006",-0.402426481082464,1214,-0.59233295,2,-0.61604465,2,"Malawi"
"454105007",-0.356387396341926,1096,-0.305881725,2,-0.6300751,2,"Malawi"
"454105008",-0.350327923101027,829,-0.5309374,1,-0.5643741,1,"Malawi"
"454105009",-0.510064561966326,703,-0.47371233,1,-0.68797827,1,"Malawi"
"454105010",-0.343291215216828,592,-0.5216426,1,-0.5630994,1,"Malawi"
"454105011",0.814299647025273,403,0.408478985714286,7,0.602654262857143,7,"Malawi"
"454201001",-0.344043680707739,1719,-0.5140528025,4,-0.4526280975,4,"Malawi"
"454201002",-0.439409589913107,1645,-0.6544442375,4,-0.605054485,4,"Malawi"
"454201003",-0.53196563111551,1152,-0.670615855,2,-0.682571775,2,"Malawi"
"454201004",-0.420677718297391,1105,-0.5504771,2,-0.42884388,2,"Malawi"
"454201005",-0.474482595185454,977,0.01314521,3,-0.567448616666667,3,"Malawi"
"454201006",-0.415304251057227,850,-0.6071917,1,-0.60182977,1,"Malawi"
"454201007",-0.337142841139385,848,-0.32221058,3,-0.231618583333333,3,"Malawi"
"454201008",0.656485457231279,827,-0.094366035,2,0.44245313,2,"Malawi"
"454201009",-0.375514681358805,795,-0.46215875,2,-0.490814,2,"Malawi"
"454201010",-0.43304217746934,787,-0.50940243,2,-0.66099293,2,"Malawi"
"454201011",-0.474118981501606,736,-0.66063402,2,-0.59539775,2,"Malawi"
"454201012",-0.492153963889921,578,-0.6142768,1,-0.6433401,1,"Malawi"
"454201013",-0.534028432412823,604,-0.6273598,1,-0.6645198,1,"Malawi"
"454202001",-0.131056653838085,2170,-0.316083910111111,9,-0.447329994444444,9,"Malawi"
"454202002",-0.631344212876221,1395,-0.704520582857143,7,-0.604052625714286,7,"Malawi"
"454202003",-0.536518853684523,1077,-0.67014407,5,-0.581046774,5,"Malawi"
"454202004",-0.489463866140788,496,-0.7005805,3,-0.649323546666667,3,"Malawi"
"454202005",0.231000341916073,480,0.0878596,4,0.4898121975,4,"Malawi"
"454202006",-0.475180439808601,492,-0.5819595,2,-0.637031795,2,"Malawi"
"454203001",-0.390872199357939,2022,-0.659181864444444,9,-0.543751193333333,9,"Malawi"
"454203002",-0.449660253640859,1250,-0.67349005375,8,-0.6282627275,8,"Malawi"
"454203003",-0.472883590582809,795,-0.356652648571429,7,-0.68936073,7,"Malawi"
"454203004",-0.544687923635366,540,-0.6591194625,4,-0.665371205,4,"Malawi"
"454204001",-0.444652796355495,2558,-0.58678494,6,-0.545841946666667,6,"Malawi"
"454204002",-0.519958053385915,1759,-0.68291819,4,-0.5514003725,4,"Malawi"
"454204003",-0.524381349125455,1835,-0.727446166,5,-0.584001134,5,"Malawi"
"454204004",-0.442914645329031,1810,-0.664722346666667,3,-0.459580472,3,"Malawi"
"454204005",-0.526532859962372,1596,-0.38738593,3,-0.264306003333333,3,"Malawi"
"454204006",-0.570469506515232,1394,-0.6674837775,4,-0.504214075,4,"Malawi"
"454204007",-0.230121387827011,1086,-0.61873618,4,0.0622513125,4,"Malawi"
"454205001",-0.61047560205779,1880,-0.73432655,8,-0.53268695875,8,"Malawi"
"454205002",-0.517100628867046,1225,-0.422310098,5,-0.307945504,5,"Malawi"
"454205003",-0.588621227670733,1256,-0.7380514,3,-0.56717269,3,"Malawi"
"454205004",-0.179647657848396,1023,-0.25167925,4,0.1893919525,4,"Malawi"
"454205005",0.477096392019213,616,0.85336895,2,0.73962907,2,"Malawi"
"454205006",-0.616126138506956,596,-0.717589986666667,3,-0.627751933333333,3,"Malawi"
"454205007",-0.646795148510169,461,-0.8899667,1,-0.7008761,1,"Malawi"
"454205008",-0.646660957127327,467,-0.76080926,3,-0.591811633333333,3,"Malawi"
"454206001",0.908763861358051,14937,0.423297871130435,23,0.946712689565217,23,"Malawi"
"454206002",-0.528969692650224,5099,-0.701476058,5,-0.581473104,5,"Malawi"
"454206003",-0.485116897017015,3103,-0.62091207,2,-0.43083452,2,"Malawi"
"454206004",-0.505154284667995,2371,-0.575033725,2,-0.58898115,2,"Malawi"
"454206005",-0.490398446379277,2458,-0.373100866666667,3,-0.320266746666667,3,"Malawi"
"454206006",-0.539295185736437,2051,-0.7236694,1,-0.6764795,1,"Malawi"
"454206007",-0.535104838832515,2295,-0.74545693,1,-0.6462674,1,"Malawi"
"454206008",-0.474890951565383,1978,-0.7066253,1,-0.47591043,1,"Malawi"
"454206009",-0.520390394084508,2042,-0.75098425,2,-0.38429075,2,"Malawi"
"454206010",-0.544584311660237,1319,-0.8454181,1,-0.6790889,1,"Malawi"
"454206011",-0.499090524920107,993,-0.609399,1,0.31044054,1,"Malawi"
"454206012",-0.631621086135288,878,-0.80637065,2,-0.681169625,2,"Malawi"
"454206013",-0.28808433500315,708,-0.6510426,1,0.30194223,1,"Malawi"
"454206014",-0.345530835112544,691,NA,NA,NA,NA,"Malawi"
"454206015",-0.563939920851607,616,-0.5676627,1,-0.6199726,1,"Malawi"
"454206016",-0.380932752457151,510,-0.72257125,1,0.6200148,1,"Malawi"
"454207001",-0.266672852365626,2328,-0.35677050125,8,-0.1692061425,8,"Malawi"
