country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algeria,,,,,,,,,,,,x,,,,,,,
Angola,10100,,,,,,,,45398,,,,,,,,,,60504
Benin,,,,5350,,,,,,,,17974,,,,88608,,,
Botswana,,,6047,,,,,,,27211,,,,,,24720,,,
Burkina Faso,,,,8237,,,,,,57155,,,,,77037,,,,
Burundi,,,,,,,7024,,,,,,,32647,,,,,
Cabo Verde,,4584,,,,,,33756,,,,,,,,24395,,,
Cameroon,,10992,,,,,,11391,,,,,,,46560,,,,
Central African Republic,,,,5286,,,,,31966,,,,,,,,,,
Chad,,,,6695,,,,,,,,49985,,,,,,,
Comoros,,,,,2987,,,,,,,,,,10671,,,,
Democratic Republic of the Congo,,,,,11903,,,,,,,,110529,,,,,,
Republic of the Congo,,,,,,5002,,,,,,44736,,,,,,,
Cote d'Ivoire,,,10798,,,,,,12600,,,,,,,12899,,,
Djibouti,,,10355,,,,,,,,,,31683,3416,,,,21489,
Egypt,,,,,47095,,,,23428,,34069,,65411,,,11988,,52928,
Swaziland,3666,,,,,,,,,14145,,,,,,,14410,,
Ethiopia,,,,,21299,,,,,,118991,,,,,125149,,,
Gabon,,,,,,37601,,,,,,,,,,,,27934,
Gambia,,,,2238,,,,,,,4620,,,,,104830,,,
Ghana,,,,,,8687,,,,,,,72372,,,,59864,,
Guinea-Bissau,,,3216,,,,,,,,3178,,,,,,,,
Guinea,,,7095,,,,,7552,,,,,49572,,,,,,
Kenya,,,,,,13158,,,,,,,,,,21773,,,
Lesotho,,,5992,,,,,,,,,,,,,,,17288,
Liberia,,,,,,,,3595,,,,,,,4085,,36303,,
Madagascar,,5080,,,,11781,,,,,12460,,77560,,,,,,
Malawi,,,,,11278,,,,,,4494,,,,,,53885,,
Mali,,4966,,,,,4494,,,86936,,,,,,,,,
Mauritania,5862,,,,9385,,,,13676,,,,,,53715,,,,
Mauritius,,,,,,,6720,,,,,,23741,,,,,23781,
Morocco,85412,,,,,,36333,,,,,,,75691,,,,,
Mozambique,,,8700,,,,,,51177,,,,,,163571,,,,
Namibia,,,,9766,,,,,,44614,,,,,41581,,,,
Niger,,,,,,6690,,4000,,,,3859,,,22670,,,,
Nigeria,,,,18930,,,,,,149261,,,,,,,,,
Rwanda,6420,,,,,6900,,,,,14308,,,65133,,,63439,,
Sao Tome and Principe,2310,,,,,,,,,,13757,,,,,,,12668,
Senegal,,6565,,,,13568,,,,,,55017,,,,,,,
Seychelles,,,,,,,1164,,,,,,,6514,,,,,
Sierra Leone,,,,3714,,,,,,,,37921,,,,,,,40462
South Africa,x,,,,,21080,,,23362,,95042,,,,88906,,,,
South Sudan,,,,,,,,,,33660,,,,,,,,,
Sudan,,,,,,,,,,48822,,,,,11953,,,,
Tanzania,22176,,,,,,,10464,,,,46593,,,,,,46568,
Togo,,,,,,,7472,,,,,5491,,,,10781,,,
Uganda,,,9710,,,7421,,,,6775,,,32929,,,,70601,,
Zambia,,,9715,,19328,,18626,,,,19390,,,,,62402,,,
Zimbabwe,,,,,,,,,,,,x,,,,,,30158,
Tunisia,x,,,,,56953,,,,,50371,,,,,105057,,,